Raman Shift,sample_1.txt,sample_10.txt,sample_11.txt,sample_12.txt,sample_13.txt,sample_14.txt,sample_15.txt,sample_16.txt,sample_17.txt,sample_18.txt,sample_19.txt,sample_2.txt,sample_20.txt,sample_21.txt,sample_22.txt,sample_23.txt,sample_24.txt,sample_25.txt,sample_26.txt,sample_27.txt,sample_28.txt,sample_29.txt,sample_3.txt,sample_30.txt,sample_31.txt,sample_32.txt,sample_33.txt,sample_34.txt,sample_35.txt,sample_36.txt,sample_37.txt,sample_38.txt,sample_4.txt,sample_5.txt,sample_6.txt,sample_7.txt,sample_8.txt,sample_9.txt
227.01,2085,6518.3333,11968.3333,6272.6666,8450.3333,7198.3333,7711,8124.6667,8422,7801.3333,4789.3333,4020.6666,5030.3333,8575.3333,6633.3333,8104.3333,8775.3333,9408,9049,10516,9421,10722.6666,5924.6666,8044.6666,7723.6666,9326.6666,8358,9783.6666,11380,13490,16078.6666,6316,925.3334,244,7105.3333,7008,10406,9722.6666
229.37,2009.3333,6564.3333,11954.3333,6235,8492.3333,7215,7624.3333,7993.3333,8398.6667,7797.3333,4674.6667,3945,4992.3333,8434.6667,6568.6667,7988,8813,9473.3334,9037.6667,10484.6667,9318.6667,10735,5887,8057.6667,7654.6667,9279.6667,8293,9627.3334,11323,13498,16038,6312.6667,986.3333,205.6666,7067.3333,6930.6666,10414.3333,9635.3333
231.73,2044,6515,11929.3333,6167.6666,8441.6666,7073.6666,7556,8045.3334,8366.6667,7847.3334,4751.6667,3963.3333,5018.6667,8520.6667,6568.6667,7961.6667,8764.6666,9421.6666,9033,10461,9383.3333,10676,5844.6666,8076.3333,7685,9342,8377.3333,9639,11260.3333,13442,16057,6280,963.6666,207.3333,6996.6666,6887.3333,10441.3333,9610.3333
234.09,2048,6550.6666,11976,6287,8494.3333,7136.6666,7603,8110,8383,7847.3333,4782.6666,3950.6666,5042.6666,8408.6666,6600.3333,8015,8743.6666,9388.6666,9030,10502.6666,9436,10785,5841,7978,7668.3333,9386,8262.3333,9615.6666,11218.3333,13467,16006.6666,6294,933.6667,216.3334,6909.6666,6856.6666,10426.6666,9575
236.44,2023.6667,6569,11944.6667,6233,8399,7183.6667,7668.3334,8031.3334,8438.6667,7904.6667,4776.6667,3936.6667,4997,8429.6667,6464,7943.6667,8694.6666,9453,9009.6666,10535.3333,9335.3333,10736.6666,5781.3334,7943.3333,7661.3333,9382.3333,8212,9620.3333,11215.3333,13398,16045,6267,946.3333,236.6667,6995,6889,10413.6667,9578.3334
238.8,2031.3334,6521.3333,11979.6666,6292.3333,8419.3333,7240.3333,7536.6666,8055.3334,8402,7913.6667,4768.3334,3908,5037.3334,8395.6667,6512.6667,7937,8794.6666,9422.3333,9046.6666,10574.6666,9453.6666,10828,5814,8063.3333,7755.6666,9331.6666,8277,9684.3333,11315.6666,13562.3333,16227.3333,6210.3333,1007,210,6948.6666,6838,10506.3333,9537.3333
241.16,2045.3334,6436.6666,11900.6666,6288,8417.6666,7152.3333,7495.6666,8025.6667,8402,7889.6667,4739.3333,3934.6667,4988.6667,8366,6542.3333,7916.3333,8753.3333,9368.3333,9050.6666,10581.6666,9468.6666,10770.3333,5786,8092.3333,7704.6666,9443.6666,8225.6666,9508,11190.3333,13389.3333,16121.6666,6220.6666,939.6666,204.3334,6995.6666,6853.3333,10458,9501.6666
243.51,2036,6560.6667,12046,6272,8433.3333,7207.3333,7575.3333,8040,8470.6667,7835.3334,4783,3919.6667,5057.6667,8339.6667,6534,7943,8770,9308,9025,10497.3333,9392.3333,10791.6667,5774,8002,7714.6667,9400.6667,8249.6667,9615.6667,11107,13531.3333,16056,6210,911.6666,236.6667,6965.3333,6856,10475,9505
245.87,2016,6525.6667,12006,6249.6667,8404,7155,7569.3334,8094,8498.6666,7929.3333,4796.6666,3851.3334,5042.6666,8345.6666,6492.6666,7959.6666,8729.6667,9297.6667,8973,10475.6667,9371.6667,10809.3333,5741.3334,7988.6667,7645,9271,8207,9564,11066.6667,13487,16137,6181,912.6667,251,6886.6667,6846.3334,10403,9490
248.22,1949,6422.6667,11946.3334,6218.6667,8379.6667,7176.6667,7526.3334,8084,8475.3333,7896,4753,3814,4998.3333,8320,6450.6666,7821,8679.3334,9309.3334,8949,10569.3334,9443.3334,10774.6667,5701,8027.3334,7702,9312.3334,8195,9560.6667,11099.3334,13412.6667,16089.6667,6208,982.6667,242.6667,6833,6752,10425.6667,9455
